Artikelnummer 2	Artikelnummer	Bezeichung	Bezeichung 2	Lagerbestand	Gewicht	Preis (inkl. MWSt)	Preis (exkl. MWSt)	WWW-Link	Webtext	Webtext 2	Herstellernummer	Hersteller	MWST Satz	Endkundenpreis	Garantie (Monate)	Erfassungsdatum	Kategorie 1	Kategorie 2	Kategorie 3	Kategorie	EAN-Code	Lieferdatum	Ausverkaufsartikel	Discountpreis
5047	ZTI HP DRU C4921AE	Druckkopf HP C4921A cyan	Nr. 14, zu CP1160, OJ D135/145/155xi	4	0.08	40.5	37.64	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Druckkopf HP 4921A / Nr. 14 cyan, zu CP1160, OJ D135/145/155xi		C4921AE	HP	7.6	63	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	43
5048	ZTI HP DRU C4920AE	Druckkopf HP C4920A schwarz	Nr. 14, CP1160,OJ D135/145/155xi	4	0.04	40.5	37.64	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Druckkopf HP C4920A / Nr. 14 schwarz, zu CP1160, OJ D135/145/155xi		C4920AE	HP	7.6	63	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	43
5049	ZTI HP DRU C4922AE	Druckkopf HP C4922A magenta	Nr. 14, zu CP1160, OJ D135/145/155xi	2	0.05	40.5	37.64	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF11a/2921.html	Druckkopf HP C4922AE / Nr. 14 magenta, zu CP1160, OJ D135/145/155xi		C4922AE	HP	7.6	63	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	43
5050	ZTI HP DRU C4923AE	Druckkopf HP C4923A gelb	Nr. 14, zu CP1160, OJ D135/145/155xi	4	0.05	40.5	37.64	http://www.hp-go-supplies.com/german/productinfo/index.htm	Druckkopf HP 4923A / Nr.14 gelb, zu CP1160, OJ D135/145/155xi		C4923AE	HP	7.6	63	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	43
5114	NT ADA 20 AUF 24	Netzteil Adapter 20 auf 24	von 20 Pol auf 24 Pol Anschluss	101	0.03	5.05	4.69		Netzteil Adapter von 20 Pol auf 24 Pol Anschluss		IW-CON-Cable-20-24	Diverse	7.6	10.2	12	18.12.07	PCs und Komponenten	Kabel/Adapter	Computerkabel	Netzteile		sofort	Ja	5.65
5281	ZAD POWER 3PIN 4PIN	3pol Boardstecker auf Y-Doppelstecker	Stromversorg v. Lüftern aus Netzteil	101	0.02	3.45	3.21	http://www.ekl-gmbh.de/frontend/produkt.php3?id_produkte=0000535&id_lang=0000001	Adapterkabel, zur Stromversorgung von Tachosignallüftern aus dem Netzteil		RC022	Diverse	7.6	20.5	12	12.03.07	PCs und Komponenten	Gehäuse/PC-Netzteile	Gehäuse-/Montagezubehör	Kabel, Adapter, Zubehör	4260048810412	sofort	Nein	5
5294	ZTOFL EP ACU C2000FU	Fuser Oil zu Epson AcuLaser C2000/C1000	S052003, 21000 Seiten	1	0.77	61.4	57.06	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13S052003	Fuser Oil Epson C13S052003, 21000 Seiten, AcuLaser C2000/C1000		C13S052003	Epson	7.6	75	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	65.4
5295	ZTOFL EP ACU C2000CO	Photoleiter zu Epson AcuLaser C2000/C1000	S051072 30000 Seiten	2	1.49	124.1	115.33	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13S051072	Photoleiter Epson C13S051072 schwarz, 30000 Seiten, AcuLaser C2000/C1000		C13S051072	Epson	7.6	149	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	130.95
5351	ZTO SAM ML 1250T	Toner Samsung ML 1210 / 1250	2500 Seiten @5% Deckung	4	0.95	90.55	84.15	http://oa.samsung.de/article.asp?artid=a5043b46-e04f-483d-821d-962b9d731c71&show=acces	Toner Samsung ML-1210D3, schwarz, 2500 Seiten, zu ML 1210 / 1250		ML-1210D3	Samsung	7.6	129	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner	8803821358907	sofort	Nein	99.6
5509	ZTI HP C6656AE	Tinte HP DeskJet 5550C, 450 cbi	Nr. 56, schwarz, 19ml, P 7000'er Serie	545	0.5	25.0	25.0	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-46077-46099.html?jumpid=oc_R1002_CHDEC-001_HP%2056%20Inkjet-Druckpatrone%20Schwarz&lang=de&cc=ch	Tinte HP C6656AE / Nr. 56 schwarz, 19 ml, DeskJet 5550C, 450 cbi, Photosmart 7000'er Serie	OfficeJet 6110, 2100Serie	C6656AE	HP	7.6	34	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	22.15
5510	ZU FLO TEAC USB SW	Diskettenlaufwerk 3 1/2' 1.44 MB, TEAC, USB	extern, schwarz	71	0.34	44.35	41.22		Diskettenlaufwerk 1.44 MB TEAC extern, USB2.0, schwarz, Retailversion		FD-05PUK-BLACK	Teac	7.6	62.85	24	06.10.06	PCs und Komponenten	Notebooks/Tablet PCs	Zubehör	Optical/Magnetical Drives	4024541340155	sofort	Nein	50.2
5584	KA USB 1.8M A-B TR	USB-Kabel 1.8m A-B,USB 1.1 + 2.0 tauglich	Geeignet für Drucker u. Scanner,transparent	171	0.11	5.65	5.25	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128650	USB-Kabel 1.8m A-B, USB 1.1 + 2.0 tauglich, transparent		128650	equip	7.6	16.9	24	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867107966	sofort	Nein	8.35
5585	KA USB 3.0M A-B TR	USB-Kabel 3.0m A-B, USB 1.1 + 2.0 tauglich	Geeignet für Drucker u. Scanner,Transparent	180	0.16	6.4	5.95	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=804&search=128651	USB-Kabel 3.0m A-B, USB 1.1 + 2.0 tauglich, transparent		128651	equip	7.6	18.9	24	13.06.06	PCs und Komponenten	Kabel/Adapter	Computerkabel	Kabel, Adapter, Zubehör	4015867108017	sofort	Nein	9.45
5587	ZTI HP C6578AE	Tinte HP C6578AE	Nr. 78, farbig, 38ml,	99	0.2	61	56.69	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-69712-69719.html?jumpid=oc_R1002_CHDEC-001_HP%2078%20Large%20Tri-color%20Inkjet%20Print%20Cartridge&lang=de&cc=ch	Tinte HP C6578AE / Nr. 78 color, 38ml,  zu Deskjet 9x0C, 1220C, 3820C,K60,K80,G55,6122,6127,PSC750	900Seiten@5%Deckung	C6578AE	HP	7.6	88	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	62.25
5614	DS QU BA CTM40	Quantum CTM40: Streamerband Travan 40	20/40GB	4	0.14	47.6	44.24	http://www.quantum.com/Products/Media/travan/Index.aspx	Quantum Seagate CTM40: Streamerband Travan 40, 20/40GB		CTM40	Quantum	7.6	57	12	06.07.06	Netzwerk/Server	Storage-Systeme	Datensicherung	Speichermedien		sofort	Nein	51.35
5617	GPSZ GA TRAGTASCHE	Garmin Tragtasche eTrex	zu eTrex Venture, Legend, Vista	7	0.08	27.05	25.14	http://www.garmin.ch/pn_0120.php3	Garmin Tragtasche, zu eTrex Venture, Legend, Vista		PN0120	GARMIN	7.6	31	12	18.04.06	Heim/Hobby/Freizeit	GPS/Navigation/Sport	Zubehör	GPS Zubehör		sofort	Nein	28.95
5701	NWKB EQ GR C5E F/UTP 20M 26	equip Patchkabel: F/UTP, 20m, grau	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	467	0.63	17.5	16.26	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=719	equip Patchkabel: F/UTP, 20m, grau, Cat.5e, AWG26, 1Gbps	Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205419	equip	7.6	52	24	26.06.06	Netzwerk/Server	Netzwerkkabel/-Zubehör	Cat.5/5e Patchkabel	Kabel, Adapter, Zubehör	4015867212035	sofort	Nein	25.85
5768	RAM KI DDR KVR333X64C25/512	Kingston Memory DDR 512MB, PC-2700	64Mx64, CL2.5, 184Pin, Lifetime Warranty	130	0.04	24.2	22.49	http://www.ec.kingston.com/ecom/configurator_new/PartsInfo.asp?root=de&LinkBack=http://www.kingston.com/deroot&ktcpartno=KVR333X64C25/512	Kingston Memory DDR  512MB PC-2700, 333MHz, 64Mx64, CL2.5, 184Pin	Lifetime Warranty	KVR333X64C25/512	Kingston	7.6	41	120	27.04.07	PCs und Komponenten	Memory/RAM	DDR- Standard	RAM		sofort	Nein	27
5775	ZTI HP C8727A	Tinte HP Deskjet 3320/3420/3325	Nr. 27, schwarz, 10ml	74	0.16	19.4	18.03	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-79798-79803.html?jumpid=oc_R1002_CHDEC-001_HP%2027%20Inkjet-Druckpatrone%20Schwarz&lang=de&cc=ch	Tinte HP C8727AE / Nr. 27 schwarz, 10ml,  3320/3420/3325		C8727AE	HP	7.6	31	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	20.15
5776	ZTI HP C8728A	Tinte HP Deskjet 3320/3420/3325	Nr. 28, farbig, 8ml	32	0.16	22.2	20.63	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64199-69422-69422-81852-79810.html?jumpid=oc_R1002_CHDEC-001_HP%2028%20Dreifarbige%20Inkjet-Druckpatrone&lang=de&cc=ch	Tinte HP C8728AE / Nr. 28 farbig, 3320/3420/3325		C8728AE	HP	7.6	37	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte		sofort	Nein	24.05
5803	ZTOFL HP C4195A	HP Drum Kit zu Color Laser Jet 4500,4550	C4195A, 25000 Seiten	1	2.1	98.7	91.73	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64209-3322811-3322811-3774381-14798.html?jumpid=reg_R1002_CHDE	Drum Kit HP C4195A, 25'000 Seiten, zu Hewlett Packard Color Laserjet 4500		C4195A	HP	7.6	129	3	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	102
5860	FAX BROTHER 8360P	Profi-Laserfax Brother Fax-8360P, 8MB RAM	14S/min, Normalpapier	5	14.82	515.1	478.72	http://www.brother.ch/products/welcome.cfm?prod_art=FAX%2D8360P	Brother Fax-8360P, Laserfax  Kopierer, 33'600bps,  8MB RAM, 14S/min, Normalpapier		FAX-8360P	Brother	7.6	586.05	12	18.10.06	Büromaterial/-bedarf	Bürogeräte	Fax	Multifunktionsgeräte	4977766605465	sofort	Nein	530.45
5862	ZTOFL HP C9730A	Toner black zu HP Color Laser Jet 5500/5550	C9730A, 13000 Seiten @5% Deckung	17	3.13	240.55	223.56	http://www.hp-go-supplies.com/german/productinfo/hw6034.htm	HP Toner C9730A schwarz, 13'000 Seiten, zu HP Color LaserJetT 5500		C9730A	HP	7.6	289	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	247.7
5863	ZTOFL HP C9731A	Toner cyan zu HP Color Laser Jet 5500/5550	C9731A, 12000 Seiten @5% Deckung	11	1.98	336	312.27	http://www.hp-go-supplies.com/german/productinfo/hw6034.htm	HP Toner C9731A cyan, 12'000 Seiten, zu HP Color LaserJetT 5500		C9731A	HP	7.6	399	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	345
5864	ZTOFL HP C9733A	Toner magenta zu HP Color Laser Jet 5500	/5550, C9733A, 12000 Seiten @5% Deckung	11	1.98	336	312.27	http://www.hp-go-supplies.com/german/productinfo/hw6034.htm	HP Toner C9733A magenta, 12'000 Seiten, zu HP Color LaserJetT 5500		C9733A	HP	7.6	399	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	345
5865	ZTOFL HP C9732A	Toner yellow zu HP Color Laser Jet 5500	/5550, C9732A, 12000 Seiten @5% Deckung	8	1.98	336	312.27	http://www.hp-go-supplies.com/german/productinfo/hw6034.htm	HP Toner C9732A gelb, 12'000 Seiten, zu HP Color LaserJetT 5500		C9732A	HP	7.6	399	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	345
5985	ZTI EP T042240	Tinte Stylus C82, CX5200, CX5400	cyan	1	0.06	26.65	24.77	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04224010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T042240 cyan, 420 Seiten, zu Stylus C82/CX5200/CX5400		C13T04224010	Epson	7.6	41	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946355764	sofort	Nein	28.9
5986	ZTI EP T042340	Tinte Stylus C82, CX5200, CX5400	magenta	2	0.06	26.65	24.77	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04234010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T042340 magenta, 420 Seiten, zu Stylus C82/CX5200/CX5400		C13T04234010	Epson	7.6	41	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946355788	sofort	Nein	28.9
5987	ZTI EP T042440	Tinte Stylus C82, CX5200, CX5400	yellow	1	0.06	26.65	24.77	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04244010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T042440 gelb, 420 Seiten, zu Stylus C82/CX5200/CX5400		C13T04244010	Epson	7.6	41	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946355801	sofort	Nein	28.9
5988	ZTI EP T040140	Tinte Stylus C62, CX3200	schwarz	3	0.05	51.7	48.05	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04014010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T040140 schwarz, 600 Seiten, zu Stylus C62/CX3200		C13T04014010	Epson	7.6	73	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946355702	sofort	Nein	54.85
5989	ZTI EP T041040	Tinte Stylus C62, CX3200	farbig	2	0.1	39.65	36.85	http://www.epson-store.de/cch/ld/content/shop/consumables/offer.php/sku/C13T04104010?cm_mmc=ConsFinder-_-Inkcarts-_-Description-_-CH	Tinte Epson T041040 farbig, 300 Seiten, zu Stylus C62/CX3200		C13T04104010	Epson	7.6	58	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Tinte	8715946355740	sofort	Nein	42.4
6002	BEL LK O MINI B40B	Mini Lichterkette, 12 Meter, outdoor, grün	total 80 klare Lampen, outdoor	25	0.94	23.8	22.12		Mini Lichterkette, 12 Meter, Kabel grün, total 80 Lampen, outdoor, inkl. Trafo	Für Aussenanwendungen	B40B-N80A	OEM	7.6	32	12	12.11.04	Heim/Hobby/Freizeit	Weihnachtsbeleuchtung	Aussenbeleuchtung	Beleuchtungstechnik	7640105120635	sofort	Nein	29
6019	ZTOFL HP C9720A	Toner black zu HP Color Laser Jet 4600	C9720A, 9000 Seiten @5% Deckung	18	1.35	167.05	155.25	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-14665-57775.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%204600/4650-Druckpatrone%20Schwarz&lang=de&cc=ch	Toner HP C9720A schwarz, 9000 Seiten, zu HP Color LaserJetT 4600		C9720A	HP	7.6	209	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	171.85
6020	ZTOFL HP C9721A	Toner cyan zu HP Color Laser Jet 4600	C9721A, 6000 Seiten @5% Deckung	7	1.19	233.4	216.91	http://www.hp-go-supplies.com/german/productinfo/hw363.htm	HP Toner C9721A cyan, 6000 Seiten, zu HP Color LaserJetT 4600		C9721A	HP	7.6	289	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	239.5
6021	ZTOFL HP C9723A	Toner magenta zu HP Color Laser Jet 4600	C9723A, 6000 Seiten @5% Deckung	8	1.18	233.4	216.91	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-12771-64209-3322811-3322811-63776-63789.html?lang=de&jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%204600/4650-Patrone%20Magentarot&cc=ch	HP Toner C9723A magenta, 6000 Seiten, zu HP Color LaserJetT 4600		C9723A	HP	7.6	289	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	239.5
6022	ZTOFL HP C9722A	Toner yellow zu HP Color Laser Jet 4600	C9722A, 6000 Seiten @5% Deckung	9	1.2	233.4	216.91	http://www.hp-go-supplies.com/german/productinfo/hw363.htm	HP Toner C9722A gelb, 6000 Seiten, zu HP Color LaserJetT 4600		C9722A	HP	7.6	289	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	239.5
6053	ZTOFL HP C9700ABL	Toner HP, C9700A, schwarz	5000 Seiten @5% Deckung	34	1	90.85	84.43	http://h10010.www1.hp.com/wwpc/ch/de/sm/WF06c/A1-14605-14611-14611-14617-14647-57783.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%201500/2500-Druckpatrone%20Schwarz&lang=de&cc=ch	Toner HP C9700A schwarz, 5000 Seiten, zu CLJ 1500/1500 L/N/TN/2500/2500 L/N/TN		C9700A	HP	7.6	119	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	93.95
6054	ZTOFL HP C9701ACY	Toner HP, C9701A, cyan	4000 Seiten @5% Deckung	6	1	108.75	101.07	http://www.hp-go-supplies.com/german/productinfo/hw1991.htm	Toner HP C9701A cyan, 4000 Seiten, zu Color Laser Jet 1500/1500 L/N/TN/2500/2500 L/N/TN		C9701A	HP	7.6	139	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	112.3
6055	ZTOFL HP C9703AMA	Toner HP, C9703A, magenta	4000 Seiten @5% Deckung	34	1	108.75	101.07	http://www.hp-go-supplies.com/german/productinfo/hw1991.htm	Toner HP C9703A magenta, 4000 Seiten, zu CLJ 1500/1500 L/N/TN/2500/2500 L/N/TN		C9703A	HP	7.6	139	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	112.3
6056	ZTOFL HP C9702AYE	Toner HP, C9702A, yellow	4000 Seiten @5% Deckung	41	1	108.75	101.07	http://www.hp-go-supplies.com/german/productinfo/hw1991.htm	Toner HP C9702A yellow, 4000 Seiten, zu Color Laser Jet 1500/1500 L/N/TN/2500/2500 L/N/TN		C9702A	HP	7.6	139	12	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	112.3
6057	ZTOFL HP C9704A	Drum Kit HP, C9704A	20000 Seiten	16	1.35	183.1	170.17	http://h10010.www1.hp.com/wwpc/ch/de/ho/WF06c/A1-12771-64209-3322811-3322811-74748-74763.html?jumpid=oc_R1002_CHDEC-001_HP%20Color%20LaserJet%201500/2500-Bildtrommel&lang=de&cc=ch	Drum Kit HP C9704A, 20'000 Seiten, zu CLJ 1500/1500 L/N/TN/2500/2500 L/N/TN		C9704A	HP	7.6	229	3	07.07.06	Büromaterial/-bedarf	Drucker/Papier/Folien	Drucker Verbrauchsmat.	Toner		sofort	Nein	188.9
